NIT_;Año_;Precio_final_Escen;Precio_index;Escenario;DIVISA;FECHA;Producto_FK
47912677;2016;10.19;13.643521441;Guatecompras;Q;19/09/2016;15
5506433;2016;7.6;10.175737287;Guatecompras;Q;19/09/2016;5
19554648;2016;9.15;12.251052128;Guatecompras;Q;21/09/2016;8
4556984;2016;9.37;12.765390105;Guatecompras;Q;10/03/2016;102
19554648;2016;10.13;13.417736950;Guatecompras;Q;22/11/2016;7
19554648;2017;6.3;8.082746506;Guatecompras;Q;18/09/2017;103
4123670;2017;4.5;5.773390361;Guatecompras;Q;18/09/2017;2
61458228;2017;22.5;28.866951806;Guatecompras;Q;18/09/2017;2
41274989;2017;6.8;8.724234324;Guatecompras;Q;21/09/2017;3
47912677;2017;8.19;10.507570457;Guatecompras;Q;22/09/2017;7
47912677;2017;11.49;14.741390056;Guatecompras;Q;23/09/2017;2
61458228;2017;12;15.395707630;Guatecompras;Q;25/09/2017;5
2475546K;2017;8;10.263805087;Guatecompras;Q;25/09/2017;106
4556984;2017;12.99;16.665853510;Guatecompras;Q;27/09/2017;2
41274989;2017;4.9;6.286580616;Guatecompras;Q;28/09/2017;102
4556984;2017;15.5;19.886122355;Guatecompras;Q;29/09/2017;5
19554648;2017;8.4;10.776995341;Guatecompras;Q;10/09/2017;2
5506433;2017;5.25;6.698784656;Guatecompras;Q;10/08/2017;5
47912677;2017;9.05;11.342378572;Guatecompras;Q;10/12/2017;8
41274989;2017;5.98;7.630814342;Guatecompras;Q;19/10/2017;5
47912677;2017;9.51;12.135291705;Guatecompras;Q;25/10/2017;2
19554648;2017;9.15;11.675911577;Guatecompras;Q;30/10/2017;7
2475546K;2017;8;10.177521963;Guatecompras;Q;11/07/2017;100
2475546K;2017;10;12.651954508;Guatecompras;Q;15/11/2017;2
47912677;2017;9.53;12.057312646;Guatecompras;Q;17/11/2017;2
47912677;2017;10.86;13.740022595;Guatecompras;Q;17/11/2017;8
47912677;2017;8.62;10.905984786;Guatecompras;Q;16/11/2017;5
47912677;2017;6.03;7.629128568;Guatecompras;Q;16/11/2017;102
64186059;2017;5.9;7.464653160;Guatecompras;Q;22/11/2017;2
5506433;2017;7.5;9.488965881;Guatecompras;Q;23/11/2017;5
47912677;2017;15.05;19.041191534;Guatecompras;Q;23/11/2017;9
41274989;2017;6.5;8.223770430;Guatecompras;Q;23/11/2017;3
19554648;2017;9.15;11.576538375;Guatecompras;Q;24/11/2017;7
41274989;2017;4.98;6.300673345;Guatecompras;Q;24/11/2017;102
19554648;2017;9.15;11.576538375;Guatecompras;Q;27/11/2017;2
47912677;2017;13.31;16.839751450;Guatecompras;Q;27/11/2017;2
47912677;2017;8.1;10.248083151;Guatecompras;Q;28/11/2017;100
47912677;2017;6.99;8.843716201;Guatecompras;Q;28/11/2017;103
41274989;2018;6.9;8.682112360;Guatecompras;Q;16/01/2018;11
4556984;2018;11.65;14.658928839;Guatecompras;Q;15/01/2018;5
19554648;2018;9.15;11.513235955;Guatecompras;Q;15/01/2018;2
47912677;2018;6.52;8.203967041;Guatecompras;Q;15/01/2018;99
4123670;2018;7;8.807940075;Guatecompras;Q;15/01/2018;102
47912677;2018;8.5;10.695355805;Guatecompras;Q;17/01/2018;102
19554648;2018;7;8.807940075;Guatecompras;Q;17/01/2018;100
47912677;2018;11.72;14.747008240;Guatecompras;Q;17/01/2018;2
19554648;2018;9.15;11.513235955;Guatecompras;Q;17/01/2018;11
19554648;2018;9.15;11.513235955;Guatecompras;Q;24/01/2018;5
19554648;2018;6.44;8.103304869;Guatecompras;Q;26/01/2018;103
2475546K;2018;8;10.066217228;Guatecompras;Q;29/01/2018;103
19554648;2018;7.5;9.456203558;Guatecompras;Q;2/02/2018;99
19554648;2018;7.5;9.456203558;Guatecompras;Q;2/02/2018;98
19554648;2018;9.15;11.536568340;Guatecompras;Q;28/02/2018;9
